1000 100000
468 580 738180
25 676 333989
463 861 167083
229 337 475797
589 761 182086
359 746 74008
440 624 959438
400 907 386944
117 275 394222
655 701 108664
135 564 159381
214 594 992652
282 923 49865
555 640 33313
193 930 832888
113 859 298834
59 721 482683
798 805 757023
278 825 317086
225 260 78185
310 729 636503
76 330 245940
468 965 731327
121 725 751061
392 434 229420
381 810 950487
428 456 336711
497 958 265458
299 611 398179
169 884 498295
404 975 95642
516 952 137637
171 998 467650
321 903 496807
159 749 322680
358 650 669710
434 855 12357
817 885 134036
381 570 833670
683 821 859674
189 550 420790
193 323 678667
59 979 807361
177 369 121335
62 345 881152
253 916 775604
374 801 949461
61 314 337150
135 875 766165
585 894 419484
351 550 174139
303 896 289528
82 935 494684
279 548 519162
214 605 518745
137 348 704276
316 680 118613
203 539 559331
393 428 496312
159 917 73384
57 149 457484
329 687 524602
48 599 303688
203 514 259982
654 798 912491
855 943 238366
343 893 144242
579 849 817769
110 176 659013
122 950 914735
100 786 396387
346 902 114308
82 147 739807
320 456 209394
425 493 527729
525 985 935342
15 510 579994
344 559 929705
15 817 650027
861 946 876749
84 661 858938
57 296 541074
73 96 300068
87 176 144909
398 935 945784
36 481 758009
270 355 200130
420 600 178526
108 968 338228
11 359 872026
143 787 360561
63 821 123369
235 895 998315
12 522 233995
52 400 870877
705 943 645531
262 937 701701
75 479 63680
619 956 950002
280 551 544551
42 701 836718
40 870 694491
601 746 334996
73 276 977011
418 999 333515
145 404 612742
2 716 154837
913 938 43428
5 582 829520
471 797 491958
612 758 882944
119 607 162162
239 589 847733
232 593 2313
115 252 657469
713 853 598549
190 956 514999
248 355 583764
8 862 282581
469 801 776458
742 848 337770
299 397 58752
426 638 71394
172 892 126098
744 797 34852
106 286 309283
104 353 281438
640 884 8223
135 356 95064
384 992 851648
103 625 992520
579 847 137811
421 685 125101
484 877 112234
37 475 378591
53 283 225372
92 270 384835
2 754 526568
148 385 628050
256 268 350891
514 775 241391
396 806 676823
19 54 421657
808 864 94665
190 975 264841
609 698 438813
281 908 147261
41 486 961712
648 649 482774
9 618 200958
222 893 912310
160 592 737853
60 570 294829
277 601 796080
145 979 419786
446 537 496345
185 921 637352
538 664 59478
113 767 398011
4 619 948182
36 765 915808
685 946 671471
117 223 158574
74 388 146426
18 942 95353
13 609 238610
309 368 584087
580 845 966301
530 902 559633
474 626 751420
200 567 3379
606 885 286289
76 160 763873
108 639 756825
28 416 242735
358 607 369514
135 494 650329
154 951 264752
405 759 700870
541 604 106577
488 761 408993
491 641 468090
363 765 607963
60 822 918239
398 553 452353
335 532 295598
46 164 341046
114 715 561951
670 987 395186
99 734 945881
620 663 37713
227 362 227478
824 981 557785
81 363 901644
294 392 331752
560 618 864886
673 991 930624
69 975 683483
627 841 148341
38 248 291042
610 847 565737
861 874 133412
606 671 267543
448 721 278337
150 359 114609
369 393 471539
96 393 613415
719 727 261707
247 824 651308
340 704 259235
288 489 554960
63 978 134874
626 783 26391
370 721 154273
884 893 820786
652 723 92269
480 898 711345
546 690 628539
660 904 778397
629 1000 739259
607 916 554921
245 465 622987
537 977 141736
719 772 193411
222 549 968369
816 873 221670
623 648 828685
136 790 292928
349 783 130167
204 361 105197
38 832 571050
712 996 484786
100 551 829181
17 344 445164
368 819 768832
310 904 830452
148 380 838474
241 551 275274
71 827 662186
725 805 642761
43 741 934357
190 340 403092
426 469 900759
371 672 384817
647 817 231162
531 997 24540
159 556 462959
180 681 261574
415 699 629732
272 405 620265
851 964 724222
27 723 384272
738 931 762576
328 504 967213
609 980 642249
60 692 559708
555 608 999183
7 398 103324
120 980 16228
120 511 153076
65 773 198362
104 535 514891
429 873 39947
170 820 301984
209 716 340355
113 383 332896
315 833 201766
220 397 316043
453 457 419284
136 207 945634
129 240 693781
464 931 247479
388 729 669093
531 557 353018
624 696 893417
78 607 665843
320 791 999983
316 635 167913
31 367 93290
213 440 569017
116 397 731257
4 187 925146
173 661 582854
206 555 450259
27 103 964650
506 816 975784
619 718 179963
256 386 951081
36 177 678534
196 776 521566
308 311 374453
172 527 980011
207 527 950366
66 893 906897
497 931 762509
371 990 895980
160 342 535372
59 767 374286
79 728 850762
241 916 396580
751 765 564871
443 957 71534
643 860 691032
201 488 132432
449 753 156772
890 945 382561
36 747 200973
182 520 733033
443 905 255193
861 954 692359
598 919 697646
494 607 747234
407 734 65472
850 964 325599
466 493 814345
175 666 720997
332 624 439327
358 537 767885
67 307 316386
105 827 849697
763 863 485040
600 836 435795
606 775 938818
750 976 565726
133 534 759627
122 809 66681
647 831 814549
489 855 989582
556 823 262790
1 774 980418
874 913 703512
27 362 772496
432 984 93192
488 637 310385
273 589 102186
20 731 619647
913 952 878873
435 754 598903
806 990 370785
353 928 155789
417 604 621731
240 827 900466
313 453 697344
298 333 856910
535 905 33163
702 799 219393
125 479 704803
534 829 347899
407 828 464788
54 599 134202
169 652 937275
907 922 272613
622 932 509355
39 380 52678
112 444 722904
219 257 228451
331 618 770481
411 995 361429
380 909 684427
119 765 945874
413 509 373191
496 524 432711
222 974 678073
307 891 468286
215 271 227686
155 390 17156
272 886 168322
299 415 918159
15 769 170519
95 377 392405
165 465 676322
625 925 857764
647 779 167444
315 918 514259
664 965 144013
2 342 969643
392 542 827838
560 706 519447
22 847 389870
604 754 482754
114 712 116952
753 912 266712
493 647 920695
693 884 216209
540 604 642495
178 962 741353
67 963 221111
674 711 39299
233 885 217091
418 745 919573
542 688 676270
81 603 620870
90 621 112978
323 735 876233
344 871 585941
219 410 970631
472 526 877391
199 762 482223
843 912 644792
117 924 382163
89 923 834090
684 985 224637
483 507 931532
736 977 558086
197 933 245422
658 665 749267
444 762 412227
386 643 537734
472 868 307597
150 981 874667
444 695 992716
144 179 340215
672 854 694545
46 768 987692
677 902 381
485 899 49702
60 678 162948
209 855 482974
163 812 916951
145 840 636504
358 640 239971
370 381 154515
142 604 630804
440 560 165214
475 796 601820
826 938 964475
740 968 325249
496 620 908672
244 892 483638
283 740 266831
83 640 168667
380 452 123379
21 225 880567
700 902 22068
122 463 370983
480 862 274785
783 937 514856
521 838 385728
277 603 772374
55 850 270202
363 411 890091
312 342 995296
256 773 851950
119 286 448298
242 305 889008
377 648 227091
506 608 168967
43 220 953848
18 622 692413
101 596 169324
209 910 244814
32 939 218322
115 151 6334
142 403 772350
59 305 149904
383 564 53367
135 281 85654
660 842 522579
384 388 188583
568 768 424758
177 527 581651
235 680 711483
765 945 949706
93 776 252248
138 921 826818
434 521 620998
288 338 17959
386 557 653975
319 598 258973
114 536 509314
644 660 254866
202 518 659288
468 936 629782
313 325 665980
128 129 362250
421 584 729643
242 656 396308
325 370 111606
763 993 885127
662 691 845077
399 863 198683
421 717 318867
510 733 725134
393 989 245743
582 877 480503
101 173 472356
224 425 813818
29 519 487516
770 940 249026
4 504 91660
319 424 629482
156 965 470280
168 369 556808
678 749 816717
23 793 214527
373 791 519778
440 897 704194
190 595 558297
213 709 279541
316 890 769534
458 913 716092
320 738 75179
336 760 687651
166 358 148776
500 955 838118
423 983 975321
177 747 921118
345 616 389150
563 856 213011
594 878 969697
662 936 685722
270 362 983902
499 539 951006
495 909 168269
113 328 511982
370 889 135175
22 313 752627
1 474 833376
182 418 781149
493 843 543014
39 110 776448
293 367 532183
258 615 421046
409 655 93232
268 437 541269
142 910 705009
19 184 250683
898 953 985057
567 913 770573
164 402 571214
471 907 25662
184 789 584362
354 791 743220
879 973 798025
227 738 629449
85 857 655448
766 898 648736
109 136 15351
88 758 186550
315 663 694098
736 952 669190
118 441 428211
742 996 3822
86 850 651
528 740 736320
427 646 869228
178 406 211464
450 892 396101
214 309 342367
639 808 948711
285 756 183757
214 577 156434
632 640 343507
222 620 984633
40 420 206934
395 982 686277
315 573 153545
28 804 934241
602 659 550390
443 823 566933
278 322 2925
528 669 626192
192 351 320283
51 445 77308
23 228 682562
570 613 628914
605 949 451572
531 907 157423
189 964 624122
315 834 441220
696 950 834046
315 617 167968
562 919 483564
476 524 77772
539 855 882319
340 473 430323
507 881 654430
586 673 281580
83 865 403561
760 778 633567
835 947 722818
377 946 79735
15 489 872566
587 749 28536
174 199 562806
202 361 756781
21 139 29271
33 103 370202
4 792 786712
217 627 21327
249 560 693904
82 772 312169
28 259 360284
200 966 79553
359 373 927736
516 561 525931
699 766 329796
496 824 583359
38 785 215722
577 626 110836
460 875 505766
7 839 100334
133 558 691682
804 844 677772
206 454 730912
133 195 100083
65 434 384198
520 912 648058
697 793 417411
27 605 260935
477 940 88481
228 962 176306
53 560 515123
146 610 939941
10 191 997644
132 618 611919
99 180 151672
80 717 450035
81 909 913564
585 780 393587
410 859 743366
430 886 613060
92 265 871637
552 875 500335
604 631 910090
539 598 968137
344 760 305989
102 386 243284
22 277 43365
448 898 56404
710 877 961704
759 881 498847
549 662 278090
108 505 646796
541 831 614282
393 469 966771
682 840 623431
366 743 245579
428 857 469773
541 844 588621
26 245 40986
668 968 586510
610 675 36135
418 446 210924
303 609 946253
588 833 871297
128 185 868209
430 933 904343
121 126 312157
308 355 36613
29 989 484896
677 728 658153
12 770 173773
154 492 749889
645 736 447061
54 117 358950
861 978 821629
284 574 678743
49 591 18719
212 309 89659
351 806 342754
576 902 412840
475 759 299048
222 838 200368
329 834 950681
569 902 53144
19 635 783377
943 993 781074
36 48 635458
129 261 443346
514 621 77740
563 609 326321
37 288 121627
274 420 344059
86 115 723791
235 896 192543
61 202 517660
839 976 529513
162 419 896931
121 198 206540
325 602 733949
102 415 813019
311 546 594104
250 423 654784
476 763 613893
193 948 508261
312 603 446746
846 915 709975
399 622 878483
494 632 603808
216 804 348603
215 432 24630
34 775 387766
641 651 191172
501 938 98624
560 605 301610
59 182 599162
431 862 549099
635 670 6863
101 422 364673
79 487 996952
196 871 894079
805 836 424275
8 588 1499
489 844 673796
45 363 506865
784 890 687395
760 788 660524
167 984 711828
35 350 772114
289 816 27958
445 483 776390
140 767 625922
414 659 582347
378 458 298806
373 541 972084
431 938 580939
486 542 337594
295 912 366917
559 586 74520
170 388 160835
525 899 435172
846 897 253855
52 869 701595
90 889 738190
551 554 575476
161 855 585126
635 841 59171
55 529 952537
204 239 335009
90 937 194055
238 301 105720
421 795 333870
337 408 55577
566 725 816770
30 973 267912
254 626 417394
664 776 986177
14 312 88667
107 791 709713
12 548 972228
79 918 670777
218 823 342093
144 990 921725
397 604 406109
64 315 5446
423 716 534498
656 857 285553
96 360 332496
98 665 530784
183 241 109723
69 787 858606
792 913 427486
215 447 649367
208 868 469362
228 646 522702
319 762 356856
501 581 60423
84 922 256726
644 875 930499
779 799 780583
452 680 998462
677 772 5005
792 915 326352
104 820 754617
516 540 656352
766 928 744677
235 311 538312
22 365 255503
462 473 513128
44 915 770065
38 646 532831
53 916 347790
307 831 463445
290 627 697243
446 632 272770
114 214 181468
524 861 822978
65 985 764510
251 540 252377
186 871 36725
58 185 621308
171 856 58072
168 455 221620
42 310 858458
523 695 642417
435 985 564749
484 966 822481
625 669 498827
610 973 357645
399 887 347117
566 570 922976
94 733 59222
277 553 823403
479 962 145410
736 962 411413
279 713 645652
110 591 884076
110 367 114446
9 300 469726
51 708 790302
593 960 520124
250 916 400407
464 863 645711
496 531 53813
319 482 449628
188 818 803847
44 88 863615
418 614 842337
473 791 857313
90 686 631185
83 286 645616
111 267 915594
418 591 25256
395 933 3964
321 790 560050
20 182 292156
769 856 807743
418 593 371282
646 860 70720
310 725 912047
315 557 810419
347 383 265330
172 963 209451
410 744 110806
299 407 635648
603 928 776067
376 714 747205
304 638 39263
258 613 760944
43 677 365561
312 323 580237
10 960 974303
442 719 10191
14 167 344545
508 568 808292
159 944 956613
601 731 22483
30 744 703676
712 715 577414
642 993 619910
101 396 303486
578 965 766611
265 914 507924
190 444 78973
43 134 813498
126 550 361410
494 654 374608
15 523 40471
21 762 680395
321 641 537568
36 607 417477
520 926 49341
96 562 533415
505 957 448126
765 872 817863
82 192 90143
25 55 984035
117 730 291544
80 205 357621
382 951 340593
130 477 711902
49 328 302504
4 554 668495
777 818 104864
886 999 632988
53 494 636795
319 426 598498
38 916 424112
3 86 270348
400 461 934484
316 961 77511
592 720 339751
326 647 110799
208 925 89095
417 597 375441
193 772 26046
34 787 119734
369 958 440335
495 768 630782
214 751 357312
345 805 125901
794 968 76165
580 827 726366
107 708 213115
203 475 46871
665 698 478925
466 499 361640
780 810 508039
655 954 136513
312 712 433850
594 938 492677
445 584 66565
752 990 546652
579 955 56457
464 596 734236
4 57 631486
29 288 43460
85 494 284143
786 864 183216
655 793 54333
817 966 899348
432 477 219230
607 724 950876
769 815 556526
350 797 265104
384 818 262341
538 628 413600
208 322 66372
45 210 144929
67 485 710381
165 878 273668
778 933 976344
44 479 769153
81 498 121146
264 723 704806
89 913 381093
20 472 138896
308 725 986128
12 472 232564
619 836 323058
847 883 171661
795 930 610846
758 877 270361
563 819 452232
418 883 484273
421 689 343833
331 942 631294
5 989 152028
66 833 421742
369 944 342742
502 973 486513
201 535 119766
246 551 11666
240 655 672822
312 596 862260
80 290 92575
234 417 287116
15 411 791692
756 869 421430
480 936 637087
378 859 747585
320 609 874085
278 342 989397
273 865 224341
592 707 757291
295 853 365487
320 672 106484
725 939 794531
126 882 545609
135 797 732121
81 201 570275
229 842 455843
114 661 49792
38 556 334247
722 927 97431
343 997 900107
221 490 955268
544 731 514655
832 944 647432
344 875 364366
152 577 344396
538 694 821526
714 766 921151
778 924 173639
735 851 473081
271 742 398985
192 335 874410
69 974 706554
701 890 137992
80 395 612082
443 969 307085
88 156 366123
86 326 850395
249 422 472155
65 450 169591
203 263 834242
4 726 351521
310 548 42609
412 738 520816
207 914 64088
403 638 998914
308 845 115728
606 747 914018
353 691 818777
190 291 46507
589 931 10332
768 802 558484
92 974 845088
715 846 951585
260 543 807931
81 516 772171
566 893 106320
189 390 80257
436 800 919730
298 602 854545
39 975 709994
478 863 433847
717 949 910393
229 383 571099
224 882 477439
93 915 377194
20 606 685338
425 497 527443
60 663 95303
48 289 544594
45 196 317799
479 902 352443
524 921 136000
155 278 407895
205 247 366650
193 990 52440
595 949 281172
89 505 847456
137 909 579380
145 197 782335
439 535 307236
490 945 722015
191 709 646940
920 982 982225
15 331 857435
188 236 549868
900 965 79404
286 768 352200
306 352 684097
749 759 863059
645 875 371016
207 896 169030
192 493 935754
15 26 337669
263 525 719210
298 568 369910
228 866 307525
389 976 88825
112 801 788034
366 581 643021
149 988 442444
700 815 883465
41 42 125598
257 500 600686
481 906 138797
35 99 157997
291 578 600263
229 457 796653
178 928 517980
623 663 314381
247 642 840320
761 913 398313
412 883 717873
333 797 588379
296 583 557143
592 725 954432
303 404 961859
690 832 686436
327 952 919250
221 925 89190
93 539 618513
350 856 497255
41 513 386150
619 788 470478
54 656 203149
93 713 643325
723 795 730666
568 572 608897
305 489 345762
224 697 858447
354 600 739840
239 843 508019
523 961 434465
666 928 378426
206 917 663401
33 773 446401
614 712 247749
386 967 983714
179 360 722068
402 735 80982
204 310 546294
204 927 392020
67 236 129192
52 907 798055
276 665 382452
310 752 413385
275 488 126869
111 760 371312
199 864 854659
492 541 896207
202 715 345419
713 923 694231
216 916 723503
269 509 888539
143 251 51847
354 766 135227
291 816 482235
32 371 981672
263 803 263637
900 940 604401
192 257 212518
62 609 945671
375 470 726870
311 965 123438
487 883 561785
1 407 548264
699 869 382624
39 437 667796
691 919 480652
278 926 806719
599 842 359336
807 952 321893
107 645 166120
52 885 663277
327 442 193630
651 774 140785
318 928 205082
26 649 169812
189 381 421960
461 728 116070
637 744 553110
554 792 773156
166 880 276456
510 964 281922
436 844 409685
198 565 693030
292 658 395210
677 897 970309
178 280 524568
208 695 432046
160 440 72961
756 824 527017
829 845 174123
283 931 442984
940 980 500122
506 741 492813
618 805 893517
212 777 881601
622 626 249207
141 331 176031
598 775 112272
261 934 393449
151 832 972320
493 715 124753
161 758 101638
836 981 972564
311 467 717344
455 924 515334
541 802 892576
457 755 634062
138 960 937076
586 631 204054
71 834 41121
655 863 295050
370 422 882871
307 640 340839
304 859 977425
606 844 114343
373 536 428387
132 398 819122
81 203 116584
584 736 150104
417 551 247958
477 969 180840
58 198 810506
391 893 961269
229 631 213596
183 536 286709
270 330 567931
21 926 506273
189 626 915421
392 719 45852
254 834 535681
36 97 288420
446 514 366959
165 934 847835
691 705 455926
529 606 530952
770 782 799904
468 826 993206
629 730 54743
489 753 171906
138 934 785021
312 466 870405
231 789 733956
159 273 983610
354 845 284535
97 145 554110
128 916 725366
156 951 690986
291 996 869074
55 428 706294
281 672 523304
218 593 581594
137 842 837362
100 778 319600
93 223 818825
20 189 126529
60 612 122144
130 887 781914
68 347 78389
188 648 821210
290 778 995845
99 159 603590
173 187 624792
150 834 951473
411 825 555944
502 950 184173
119 502 228776
449 760 486191
279 899 836342
271 582 129514
484 595 422540
319 714 859258
659 665 147725
518 792 655630
82 131 300398
654 735 657982
261 944 4714
119 149 211569
420 988 807420
488 630 902441
112 520 222039
1 848 638943
715 949 89335
18 728 295754
283 481 231706
310 796 93361
796 805 595682
210 862 77696
753 852 159126
591 697 81882
636 960 764592
777 919 445838
590 622 31453
182 252 281001
417 978 235784
408 626 8946
191 512 144296
714 742 581314
796 873 92846
1 682 263504
610 942 807218
304 791 181429
120 952 659365
50 311 397700
464 878 593899
251 529 695390
557 971 452379
655 704 570143
843 954 488006
362 537 508626
337 763 925557
32 963 13827
75 872 824316
364 753 364696
75 308 623739
327 917 902857
261 993 318104
267 952 601012
221 672 695938
14 419 305951
111 221 96478
490 871 151804
782 953 47999
84 239 80380
263 976 955201
74 789 1433
344 721 940726
24 716 115328
711 985 544187
207 286 826571
504 677 328207
36 120 290160
325 849 855560
400 658 839768
216 303 273272
145 308 616781
292 743 882139
21 914 638523
511 732 935202
216 353 433326
750 807 128922
697 951 111260
320 592 856150
32 127 309537
55 861 724668
681 917 975980
257 890 141464
711 824 16450
242 812 589345
215 859 619630
443 705 86138
496 497 823976
418 475 635483
349 659 741264
286 978 889526
164 842 899610
860 985 207646
398 674 275545
361 487 858595
544 807 161302
335 416 341448
243 685 100738
14 925 998687
369 874 477362
895 998 782851
666 984 964492
85 131 665534
815 867 643059
206 829 283227
144 927 268279
402 795 969145
426 543 552791
406 577 468183
88 936 625942
196 834 956096
191 844 466836
248 601 291312
543 801 649199
90 245 550947
662 679 135421
369 857 446607
512 552 106835
55 256 54147
4 654 327562
209 899 700832
756 819 71067
155 913 23805
31 244 135338
509 981 281838
107 170 165476
26 522 419325
26 597 531315
5 140 669009
611 800 850586
348 844 908132
199 738 413947
70 207 790800
33 253 915627
918 971 991387
122 876 222109
60 470 971104
563 954 967940
516 664 674601
12 586 204933
665 692 151163
304 745 392951
249 482 225795
45 926 169822
455 777 594225
91 818 186110
56 731 190293
566 898 130867
348 582 511809
485 724 887180
205 311 555213
164 768 561297
497 970 518899
692 816 517894
397 680 525577
43 75 63811
221 879 465539
380 435 562032
785 936 122908
97 643 701875
763 853 833104
230 659 563238
620 689 592966
210 664 772162
856 949 649981
327 827 30887
830 844 274308
236 561 414039
14 205 88158
58 568 460203
138 848 66987
421 743 576073
446 475 998792
809 920 293862
152 174 597423
125 490 555456
409 791 281614
381 697 456491
363 639 105913
146 709 822989
85 394 268619
668 935 822739
537 884 983938
544 688 148253
529 710 2912
501 934 419516
72 916 49276
347 883 452275
71 678 694639
863 923 826127
18 112 254353
13 870 472697
138 891 340317
109 673 13639
106 971 206831
170 973 196329
182 570 270272
643 864 333548
315 357 380274
117 267 422803
475 605 976724
167 286 221340
215 809 267989
502 778 775206
293 607 791461
155 910 883269
745 981 900648
866 958 374707
645 839 734083
287 937 141999
93 579 58566
166 629 813521
108 421 529074
255 853 938725
94 761 515687
114 190 391848
148 376 635409
75 465 259444
527 944 475105
251 813 924493
744 775 378618
102 261 805790
755 852 521687
412 862 792182
272 666 783489
66 365 795406
426 532 236901
85 536 410014
113 687 924046
700 992 190440
381 443 603120
118 835 959232
703 872 548156
85 958 256573
34 580 312582
344 545 444484
375 428 980837
432 487 75745
33 980 783771
171 718 344501
27 930 222154
406 701 128635
191 791 301090
632 969 553322
38 969 464493
821 900 501958
116 252 885523
738 933 903489
382 568 871583
131 307 475465
311 555 729468
907 972 335667
307 957 234033
103 835 879146
208 312 417926
184 599 558075
686 758 271052
80 992 318450
66 775 857453
3 26 53210
94 928 486458
274 653 713712
567 683 190010
619 632 284112
16 497 286330
185 653 969167
270 354 825135
42 186 260953
570 916 331122
600 663 268856
195 874 11363
667 786 886001
330 622 379401
61 248 990695
232 465 569119
313 966 970491
110 741 535549
242 430 585156
303 535 90102
222 985 776617
156 634 293060
665 815 645554
116 664 122176
243 848 527674
493 612 638960
104 981 489598
90 678 947939
273 547 241313
309 516 597536
43 238 295281
600 896 152618
45 225 684522
126 912 757918
286 769 840343
249 823 416395
500 975 170190
44 808 982265
796 884 373597
379 747 114391
131 291 22815
696 783 820782
354 755 21523
496 954 16941
399 619 757704
117 702 939923
426 512 15027
510 619 826084
653 657 687500
322 565 722892
456 979 262621
113 241 942560
230 818 663832
347 726 215492
95 169 91002
17 526 182646
516 870 124445
206 582 504338
186 661 558384
560 957 398618
841 895 846756
470 964 39550
522 916 735582
132 768 450329
129 212 658117
71 870 322676
232 939 986564
91 140 148062
722 746 666416
54 471 257950
9 954 295278
164 722 581972
103 321 792617
675 797 270087
87 916 99425
563 822 905802
744 871 643715
693 815 856939
102 907 828390
367 653 168908
530 566 241964
407 632 183176
588 913 252176
282 764 517680
170 368 769013
366 594 170152
92 461 671721
464 898 283389
414 430 572070
312 440 531016
527 677 234110
151 389 162147
20 614 727129
394 534 889575
240 794 935554
339 608 440888
203 738 897458
278 358 578235
386 404 708377
72 334 591493
180 710 492832
390 824 796208
261 728 938707
242 634 305876
246 519 60169
343 809 648811
212 739 513124
211 485 248409
40 290 143432
33 652 210595
17 815 8945
161 258 455111
128 143 985670
223 778 152323
892 986 79873
172 866 475356
445 816 698313
642 823 743478
475 931 872583
541 640 717865
392 668 729634
134 958 435254
693 741 182150
284 754 337440
458 656 859269
187 241 115152
206 890 922791
37 267 704559
36 523 928706
230 662 438143
491 712 310063
183 695 335292
137 811 73870
77 837 3949
45 277 518952
132 484 631757
166 301 528758
171 298 980952
304 450 883815
710 838 477632
144 667 575446
100 714 788602
889 901 187773
89 934 335238
321 486 371657
563 987 503492
406 760 981197
506 889 823760
596 671 428663
189 766 375423
696 907 722843
620 732 524757
399 859 709581
48 487 205884
144 721 924560
707 829 681510
589 676 19243
1 536 935583
33 219 554316
47 714 992704
592 943 197062
153 901 470617
354 679 339953
791 921 616162
551 791 769973
456 601 899638
428 957 657590
79 406 526042
747 846 827571
184 927 545260
75 977 728534
35 978 931544
119 842 312285
516 626 656369
267 944 876442
277 877 400879
329 972 557016
773 934 12369
156 288 561060
559 692 944569
15 557 320370
90 841 827636
8 243 972780
35 336 465218
227 881 289242
58 433 16004
509 968 43906
124 524 200309
449 779 321051
807 808 358705
19 760 421437
150 554 695705
212 732 923854
324 383 780907
485 600 721088
516 779 824054
101 316 876260
557 907 375242
123 930 161998
73 142 601149
42 574 727158
47 821 134181
19 610 228111
472 850 751702
206 652 292897
464 881 60737
79 870 493497
189 947 609526
548 737 926702
486 620 984379
230 527 931960
193 628 537050
237 603 212825
273 361 181408
578 737 457717
241 611 694838
326 672 290406
154 231 846496
36 53 42497
319 874 866666
175 451 343586
405 961 100078
75 509 6725
832 907 135951
602 750 19075
891 956 82465
261 714 473376
596 685 141671
103 963 88371
17 156 575475
341 970 99682
257 511 465874
97 809 447259
163 988 821755
764 775 671867
53 279 276694
89 864 493942
560 811 794256
320 816 974148
18 235 210702
119 926 204908
393 687 710606
550 666 600315
500 797 754495
103 482 918957
849 925 596214
87 151 816403
297 673 721303
480 660 902948
195 850 596854
128 487 75204
352 811 444692
300 898 888870
140 558 346373
474 726 433047
8 154 776905
637 781 481073
365 668 648736
821 852 377334
99 471 662626
342 355 922350
90 423 201174
460 609 666773
131 720 2667
35 199 301801
219 897 89975
602 640 659085
292 933 666893
424 742 12387
423 884 609651
5 905 44534
158 592 160609
143 707 707906
337 571 723289
385 495 371347
63 684 343016
438 573 296996
116 770 187807
130 376 753399
904 960 353952
12 796 369333
366 718 961678
261 645 422224
436 676 589873
680 873 861028
292 715 26939
38 764 681170
507 941 202134
88 118 514728
218 454 570444
380 608 644500
364 815 244484
85 781 592152
586 956 845896
57 443 966364
12 450 160028
879 929 386059
824 924 124807
581 909 647503
562 641 50293
485 715 431220
142 848 104877
25 111 356548
281 925 400574
589 632 382311
181 468 181188
438 852 657895
877 922 661421
121 433 346488
399 879 831241
175 333 743657
429 716 447260
39 604 329745
288 705 405346
137 671 794875
638 663 885051
3 329 33811
536 784 491840
45 518 566777
89 889 552984
522 962 592248
365 784 665410
305 502 571753
454 942 797963
516 808 579702
54 361 980934
379 614 348506
192 222 680169
654 951 56794
342 517 571770
496 706 233357
733 749 259307
848 851 569390
489 501 748634
17 649 273646
239 668 167172
124 244 190871
576 740 231196
311 404 80395
298 395 634139
153 994 365734
533 614 616101
421 636 566976
266 718 286708
144 423 257686
525 991 895162
274 365 666436
75 137 674720
232 874 389002
286 707 615226
469 861 566736
264 743 919587
89 762 735068
290 898 401155
123 138 902310
227 591 633939
74 965 300073
119 303 543534
64 817 251192
68 461 174319
167 997 998481
451 588 820893
338 954 611066
75 411 950674
169 780 229610
367 388 567579
241 383 48208
898 930 700144
337 657 445302
119 162 120488
538 797 434616
176 994 423476
541 808 236070
422 487 334849
309 346 49383
336 549 663071
241 948 12064
96 495 726562
489 747 880231
26 328 209054
532 803 838966
66 841 468830
58 966 543769
419 547 265687
588 907 75208
287 552 208968
879 981 496970
209 515 9279
581 709 131375
267 674 234978
936 955 719957
244 930 640815
854 940 458647
394 816 237775
35 506 63701
428 880 973433
588 773 143233
682 875 103927
156 610 271659
222 933 699870
521 628 728888
267 625 290828
70 772 753890
883 975 761860
399 836 210829
575 743 221512
543 796 331598
28 871 170277
52 817 108285
380 924 98122
201 888 104815
202 779 897018
407 495 454817
597 752 76972
362 950 776333
22 93 169974
669 691 793172
757 825 914456
552 958 503847
603 959 85179
338 477 734428
580 648 11353
47 328 801632
824 976 847741
447 580 324053
525 960 141118
80 214 294350
118 626 904716
275 700 486329
630 668 420104
3 794 452517
705 802 795440
144 594 611988
556 804 374758
619 849 693792
271 816 258104
94 139 714676
159 594 362916
102 506 793051
651 775 224888
778 946 970071
795 887 702272
212 271 807758
453 975 405260
430 585 747441
649 686 665061
77 150 63898
602 890 375056
512 952 93303
586 624 704077
237 390 964552
417 484 758779
281 618 129705
516 709 331973
323 868 422438
104 921 383546
33 967 713617
224 626 968090
45 327 606204
785 982 521535
371 604 591611
191 635 280030
548 750 213143
258 801 894606
677 870 240707
10 376 454568
93 803 660870
638 812 964521
801 877 424099
677 702 729554
209 841 232479
100 682 635386
268 777 39869
590 753 711486
326 789 266147
132 822 381042
388 776 40566
208 389 353995
185 236 825067
284 651 25132
13 384 199625
512 587 28804
340 431 818966
219 673 768602
253 702 285521
128 847 272916
305 412 471999
147 885 433655
472 952 499506
110 163 706195
734 984 224912
9 135 88838
5 854 703396
27 766 708340
297 974 678767
306 701 733429
106 433 939984
632 730 769269
34 164 528257
148 851 248533
337 779 378529
409 818 470010
217 390 613507
197 475 260755
435 517 283742
593 934 413443
441 704 317501
825 909 768396
421 932 370829
37 351 389551
454 795 70180
184 503 573495
645 732 845722
329 431 860481
249 274 485236
364 616 541059
308 847 572383
750 847 734470
450 865 25341
447 870 721625
148 835 150741
220 601 780172
629 634 321497
136 619 650209
544 817 837182
49 144 370775
90 764 152727
271 782 137545
777 888 804468
96 899 347708
373 667 280268
166 788 806851
311 315 593463
477 933 841994
96 750 473346
510 724 387721
124 286 563110
512 715 629131
